Number_conceptpair	Concept_A	Concept_B	Languages_Polysemy	Languages_overtmarking	Unmarked_concept
1	cloud	fog	24	7	cloud
2	sun	moon	17	3	sun
3	grass	straw/hay	11	10	grass
4	smoke	fog/mist	11	3	smoke
5	steam	fog/mist	9	2	steam
6	animal	bird	8	8	animal
7	lake	swamp	8	4	lake
8	smoke	dust	8	4	smoke
9	smoke	cloud	7	2	smoke
10	tree	branch	6	17	tree
11	ashes	embers	6	2	ashes
12	tree	forest	4	6	tree
13	day	dawn	3	20	day
14	flower/blossom	bud	3	4	flower/blossom
15	day	noon	2	35	day
16	sun	noon	2	24	sun
17	honey	wax	2	4	honey
18	bone	horn	2	2	bone
19	river/stream	flood	2	2	river/stream
20	breast	milk	43	30	breast
21	mouth	lip	16	31	mouth
22	belly/stomach	womb	11	6	belly/stomach
23	heart	belly/stomach	7	2	heart
24	milk	nipple	5	4	milk
25	liver	lungs	4	9	liver
26	car	train	3	3	car
27	heart	kidney	3	3	heart
28	mirror	glasses	2	9	mirror
29	heart	lungs	2	3	heart
30	(molar)tooth	jaw	2	3	(molar)tooth
31	belly/stomach	navel	2	3	belly/stomach
32	cheek	buttocks	2	3	cheek
33	mouth	cheek	2	3	mouth
34	skin	bark	45	26	skin
35	mouth	beak	18	11	mouth
36	saliva/spittle	foam	8	4	saliva/spittle
37	house	nest	7	14	house
38	mouth	estuary	5	5	mouth
39	tongue	flame	2	24	tongue
40	road/street/way	Milky Way	2	15	road/street/way
41	bed	nest	2	2	bed
42	egg	testicle	20	9	egg
43	sun	clock	15	16	sun
44	seed	testicle	6	6	seed
45	shadow	mirror	3	5	shadow
46	bird	airplane	3	3	bird
47	foam	lungs	3	2	foam
