Number	Source	Source_ID	Source_Con	Target	Target_ID	Target_Con	Polysemies_Urban	OvertMarkings_Urban	Polysemies_CLICS	OvertMarkingsFamily	OppositeOvertMarkingsFamily	OvertMarkingsLanguage	OppositeOvertMarkingsLanguage
0	cloud	1489		fog/mist	249	4.66	24	7		11	29	3	5
1	sun	1343	4.83	moon	1313	4.90	17	3		4	4	0	0
10	ashes	646	4.92	embers	67		6	2		1	2	0	0
11	tree	906	5.00	forest	420	4.76	4	6		13	22	1	1
12	day	1225	4.31	dawn	729	4.46	3	20		11	29	0	0
13	bloom (blossom, flower)	239	5.00	bud	1684	4.48	3	4		0	0	0	0
14	day	1225	4.31	noon	12	2.67	2	35		22	59	0	0
15	sun	1343	4.83	noon	12	2.67	2	24		21	34	0	0
16	honey	942	4.88	wax	1931	4.88	2	4		10	16	5	5
17	bone	1394	4.90	horn	1393		2	2		1	1	2	2
18	river/stream	666		flood	613	4.62	2	2		0	0	0	0
19	breast	1402	5.00	milk	635	4.92	43	30		12	30	1	1
2	grass	606	4.93	straw	2299	4.77	11	10		0	0	0	0
20	mouth	674	4.74	lip	478	4.96	16	31		23	49	1	2
21	belly/stomach	2114	4.70	womb	804	4.37	11	6		0	0	0	0
22	heart	1223	4.52	belly/stomach	2114	4.70	7	2		0	0	0	0
23	milk	635	4.92	nipple	796	4.83	5	4		7	19	6	8
24	liver	1224	4.68	lungs	688	4.82	4	9		4	5	1	1
25	car	1111	4.89	train	900	4.79	3	3		0	0	0	0
26	heart	1223	4.52	kidney	489	4.96	3	3		0	0	1	1
27	mirror	1171	4.97	glasses	1898	4.90	2	9		0	0	0	0
28	heart	1223	4.52	lungs	688	4.82	2	3		2	4	1	1
29	tooth	1380	4.89	jaw	798	4.87	2	2		6	7	0	0
3	smoke	778		fog/mist	249	4.66	11	3		9	12	2	2
30	belly/stomach	2114	4.70	navel	1838	4.71	2	3		0	0	0	0
31	cheek	1730	4.83	buttocks	834	4.83	2	3		4	11	2	2
32	mouth	674	4.74	cheek	1730	4.83	2	3		2	2	0	0
33	skin	763		bark	1204	4.52	45	26		19	42	6	6
34	mouth	674	4.74	beak	73	4.96	18	11		10	33	1	2
35	saliva/spittle	1503	4.89	foam	1768	4.85	8	4		0	0	0	0
36	house	1252	5.00	nest	539		7	14		9	11	0	0
37	mouth	674	4.74	estuary	2286	4.17	5	5		0	0	0	0
38	tongue	1205	4.93	flame	889	4.67	2	24		9	29	0	0
39	road/street/way	667	2.34	Milky Way	2289	4.52	2	15		0	0	0	0
4	steam	1193	4.50	fog/mist	249	4.66	9	2		0	0	0	0
40	bed	1663	5.00	nest	539		2	2		2	2	0	0
41	egg	744	4.97	testicle	797	4.59	20	9		12	24	2	2
42	sun	1343	4.83	clock	1323	5.00	15	16		10	15	0	0
43	seed	714	4.71	testicle	797	4.59	6	6		8	10	0	0
44	shadow	1388	4.54	mirror	1171	4.97	3	5		2	4	0	0
45	bird	937	5.00	airplane	1597	4.96	3	3		0	0	0	0
46	foam	1768	4.85	lungs	688	4.82	3	2		1	1	0	0
5	animal	619	4.61	bird	937	5.00	8	8		3	3	0	0
6	lake	624	4.88	swamp	1145	4.96	8	4		1	1	3	3
7	smoke	778		dust	2	4.40	8	4		2	3	0	0
8	smoke	778		cloud	1489		7	2		4	4	3	3
9	tree	906	5.00	branch	1531	4.64	6	17		0	0	0	0
